start,endpoint,dig_status
chn.wlmouse.com.,chn.wlmouse.com.w.kunlunaq.com.,NOERROR
i.alicdn-com.uniq.pre-ztnagateway.dingtalk.com.,pre.cn.zb.tengine.ingress.alibabacorp.com.gds.alibabadns.com.,NOERROR
www.harmonie-sante.fr.,jc6vw3xumqurw.edge.platform.sh.,NOERROR
www.playgunlake.com.,www.playgunlake.com.ptcdn4.com.,NOERROR
odw.sony-europe.com.,stg.sony-europe.com.,NOERROR
hp.qa.discover.adidas.co.,e201459.dsca.akamaiedge.net.,NOERROR
www.bahagia77ads29.pro.,bahagia77ads29.pro.,NOERROR
mg.tx.intheswim.com.,mailgun.org.,NOERROR
asgardia-web-2.review-k8s.asgardia.space.,review-k8s.asgardia.space.,NOERROR
partner.electrolux.com.ar.,secure3.electrolux.com.,NOERROR
help.lazyone.com.,lzyonehelp.zendesk.com.,NOERROR
www.shopto.sk.,shopto.sk.,NOERROR
autodiscover.mira.tm.svc.cloud.microsoft.,autod.ms-acdc-autod.office.com.,NOERROR
m2.email.redtag.ca.,redtagvacations-mkt-prod-1238-838580580.ca-central-1.elb.amazonaws.com.,NOERROR
astro.horizonbeam.com.,webapp-1728695.pythonanywhere.com.,NOERROR
vi.clippingmagic.com.,clippingmagic.com.,NOERROR
succeed-together.landsec.com.,domain.corebook.io.,NOERROR
prodc.vitusapotek.no.,n9mxt24.ng.impervadns.net.,NOERROR
id-stage.bodymed.com.,e111160.dsca.akamaiedge.net.,NOERROR
x402z.mindnetwork.xyz.,7a22c711953d0cbb.vercel-dns-016.com.,NOERROR
pay.xenonview.com.,t1kpay-hapro-brerpx815yxp-ac89608e147b66ef.elb.us-east-1.amazonaws.com.,NOERROR
ss.msmary.edu.,usd.stape.io.,NOERROR
ventoux2021spac-farm.q4web.com.,cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net.,NOERROR
aucklandcs.cricketarchive.com.,cricketarchive.com.,NOERROR
texaswww.cricketarchive.com.,cricketarchive.com.,NOERROR
beo.live.cast4.audio.,ghs.googlehosted.com.,NOERROR
resources.nunchuk.io.,nunchuk-resources.netlify.app.,NOERROR
mail.moto-pecas.pt.,moto-pecas.pt.,NOERROR
ripley2022ir-farm.q4web.com.,cloudflare.cdn.web.prd.q4inc.com.cdn.cloudflare.net.,NOERROR
consent.stadtlandmama.de.,cdn-1061-4.privacy-mgmt.com.,NOERROR
projects.dbia.org.,ec2-18-232-69-46.compute-1.amazonaws.com.,NOERROR
eavis.ostlendingen.no.,e-pages.pub.,NOERROR
group40.sites.hubspot.net.,ngx-iad02-ba3d95-1664403419.us-east-1.elb.amazonaws.com.,NOERROR
developers.pixlee.com.,ssl.readmessl.com.,NOERROR
hhsee.casino-vulcan-royal.com.,casino-vulcan-royal.com.,NOERROR
vote-parliament.asgardia.space.,gate.asgardia.space.,NOERROR
new-ramps.cricketarchive.com.,cricketarchive.com.,NOERROR
intranet.maxmat.pt.,fwd.nscluster.net.,NOERROR
vivimas.osdepym.com.ar.,desktop.resolver.cuponstar.com.,NOERROR
cdn02.boxcdn.net.,cdn02.boxcdn.net.cdn.cloudflare.net.,NOERROR
doctorat.ubbcluj.ro.,hostingd.ubbcluj.ro.,NOERROR
ca.live.cast4.audio.,ghs.googlehosted.com.,NOERROR
id.ctrader.com.,ad37b7e6288e4f302.awsglobalaccelerator.com.,NOERROR
app-prod-simulation.2sign.co.il.,app-prod-simulation.2sign.co.il.cdn.cloudflare.net.,NOERROR
www.planvital.cl.,www.planvital.cl.cdn.cloudflare.net.,NOERROR
msha-slice-5-eus2-1.msha-slice-5-eus2-1-ase.p.azurewebsites.net.,waws-prod-bn1-4358465d.sip.p.azurewebsites.windows.net.,NOERROR
